,0
0,0.0006043390603736043
1,0.0005237826844677329
2,0.00039764572284184396
3,0.00025113250012509525
4,0.00012124233035137877
5,3.969388853874989e-05
6,1.6566274325668928e-06
7,1.0957052836602088e-05
8,4.964806794305332e-05
9,9.748621232574806e-05
10,0.00013773271348327398
11,0.00016195607895497233
12,0.00016352806414943188
13,0.00014109277981333435
14,0.00010722933075157925
15,6.925173511262983e-05
16,3.390335041331127e-05
17,1.0437991477374453e-05
18,9.681839401309844e-07
19,3.6801950500375824e-06
20,1.4611266124120448e-05
21,3.0315104595501907e-05
22,4.302270826883614e-05
23,5.082305506221019e-05
24,5.1237995648989454e-05
25,3.8708243664586917e-05
26,3.022014061571099e-05
27,1.6984829926514067e-05
28,9.047969797393307e-06
29,3.2210555218625814e-06
30,6.371577114805405e-07
31,1.8837594097931287e-06
32,5.1070314839307684e-06
33,8.805956895230338e-06
34,1.2153670468251221e-05
35,1.4215444934961852e-05
36,1.3411006875685416e-05
37,1.0204656973655801e-05
38,7.620583346579224e-06
39,5.3932631089992356e-06
40,2.1134580947546056e-06
41,5.899169650547265e-07
42,1.4752542654150602e-07
43,5.628716621686181e-07
44,1.9963204067607876e-06
45,2.8527051654236857e-06
46,3.7522008824453223e-06
47,4.201910542178666e-06
48,3.279458269389579e-06
49,2.402381596766645e-06
50,3.3971903121710056e-06
51,2.544094513723394e-06
52,1.4606379181714146e-06
53,7.787801337144629e-07
54,9.361328920931555e-07
55,9.189332672576711e-07
56,1.0664964520401554e-06
57,1.5783111848577391e-06
58,1.5971835409800406e-06
59,1.8368699556958745e-06
60,1.6175226846826263e-06
61,1.1855860293508158e-06
62,1.1953334251302294e-06
63,1.3453951623887406e-06
64,8.417592880505254e-07
65,5.900513997403323e-07
66,5.605919000117865e-07
67,6.852375236121588e-07
68,7.502963512706629e-07
69,1.2048512871842831e-06
70,1.4279213473855634e-06
71,1.4233725096346461e-06
72,1.2542569720608299e-06
73,9.538362064631656e-07
74,1.4812502513450454e-06
75,9.583544624547358e-07
76,5.887841894036683e-07
77,4.843483338845544e-07
78,3.7087727378093405e-07
79,8.278272503048356e-07
80,1.1765802128138603e-06
81,1.6010030776669737e-06
82,2.3874188173067523e-06
83,1.2932787285535596e-06
84,8.792462722340133e-07
85,1.0617394536893698e-06
86,7.213989761112316e-07
87,5.895976187275664e-07
88,5.820028263769927e-07
89,4.5129252157494193e-07
90,5.625037715617509e-07
91,6.908645104886091e-07
92,6.460733175117639e-07
93,5.368709707909147e-07
94,5.512216603165143e-07
95,4.2084417373189353e-07
96,2.9220137776064803e-07
97,2.824549198976456e-07
98,2.6409978204355866e-07
99,2.943529864296579e-07
100,2.1947148809431383e-07
101,2.0267208356017363e-07
